id,Last name,First name,cust_zip_code,city,birthdate,street,housenr,stateCode,state,state_1,population,nrPerState,label,Comment
" 112",bbt-firstname,mnhwk-name," 16180",bnf-city,1986/10/10,yybd-street," 144",ALABAMA,AL,,," 1",A-M,no comment.
" 1",fsj-firstname,jwcdf-name," 13520",oem-city,1954/02/07,amrb-street," 145",ALASKA,AK,ALASKA,739795," 4",A-M,no comment.
" 111",xfe-firstname,imoqe-name," 14620",gfv-city,1986/02/20,nlak-street," 181",ALASKA,AK,ALASKA,739795," 4",A-M,no comment.
" 124",xgg-firstname,hgtkz-name," 17500",qck-city,1978/07/17,xkez-street," 60",ALASKA,AK,ALASKA,739795," 4",A-M,no comment.
" 42",yra-firstname,qitur-name," 15560",ijp-city,1978/01/30,fonc-street," 155",ALASKA,AK,ALASKA,739795," 4",N-Z,no comment.
" 15",jjk-firstname,wdhze-name," 16900",due-city,1970/07/17,pmmu-street," 174",AMERICAN SAMOA,AS,,," 4",N-Z,no comment.
" 128",zvm-firstname,tgowi-name," 17560",avv-city,1986/11/04,qnyp-street," 83",AMERICAN SAMOA,AS,,," 4",N-Z,no comment.
" 193",yzv-firstname,xpxla-name," 19020",eze-city,1954/04/22,taku-street," 105",AMERICAN SAMOA,AS,,," 4",N-Z,no comment.
" 107",xfq-firstname,ycpcp-name," 12660",mna-city,1986/02/14,dcki-street," 5",ARIZONA,AZ,ARIZONA,7016270," 2",N-Z,no comment.
" 180",qog-firstname,phlqr-name," 12160",qvt-city,1966/09/11,isol-street," 155",ARIZONA,AZ,ARIZONA,7016270," 2",N-Z,no comment.
" 10",uhj-firstname,oyjha-name," 18880",uyg-city,1966/04/10,bjgw-street," 176",ARKANSAS,AR,ARKANSAS,3004279," 3",N-Z,no comment.
" 187",vgy-firstname,vibab-name," 19600",jxa-city,1958/09/20,czps-street," 137",ARKANSAS,AR,ARKANSAS,3004279," 3",N-Z,no comment.
" 12",wha-firstname,vnaov-name," 13120",egm-city,1954/03/28,hpep-street," 20",CALIFORNIA,CA,CALIFORNIA,39536653," 7",N-Z,Some comment about California
" 25",ayl-firstname,bwkoe-name," 18660",rtw-city,1978/07/16,mzww-street," 179",CALIFORNIA,CA,CALIFORNIA,39536653," 7",A-M,Some comment about California
" 135",ttv-firstname,eqley-name," 12740",trs-city,1974/09/16,ibff-street," 187",CALIFORNIA,CA,CALIFORNIA,39536653," 7",A-M,Some comment about California
" 181",kxv-firstname,bxerk-name," 14180",sek-city,1982/02/18,ctwu-street," 84",CALIFORNIA,CA,CALIFORNIA,39536653," 7",A-M,Some comment about California
" 63",ytd-firstname,dkszq-name," 14700",zwh-city,1979/01/11,nbjz-street," 65",AMERICAN SAMOA,AS,,," 4",A-M,no comment.
" 152",brc-firstname,atiir-name," 11380",sas-city,1958/10/20,dwyv-street," 100",ARKANSAS,AR,ARKANSAS,3004279," 3",A-M,no comment.
" 41",jnl-firstname,bfscx-name," 16920",yyg-city,1970/11/30,cgfh-street," 178",COLORADO,CO,COLORADO,5607154," 5",A-M,no comment.
" 26",zio-firstname,rezku-name," 19080",nvt-city,1982/07/14,wwkd-street," 91",CALIFORNIA,CA,CALIFORNIA,39536653," 7",N-Z,Some comment about California
